file,maker,makerLink,description
./aniimor.jpg,aniimor,https://linktr.ee/aniim0rusername,Touch horns with demon-mom
./behelliths.jpg,BehellithS,https://twitter.com/BehellithS,Hang out with Thereza
./chyarnoe.jpg,Chyarnoe,https://chyarnoe.carrd.co/,Nap with Alyra
./ciw.jpg,Ciw,https://ciwuvu.carrd.co/,Turning Michiko
./ghostlybun.jpg,GhostlyBun,https://linktr.ee/Ghostlybun,Turning Bun
./kpdrawings-amy-ducks.jpg,Bea-chan,https://solo.to/kpdrawings,Feed the ducks
./kpdrawings-amy-petra.jpg,Bea-chan,https://solo.to/kpdrawings,Picnic with Petra
./lucyferum.jpg,Lucyferum,https://twitter.com/LucyferumBell,Forest walk with Lucyferum
./mystiriex.jpg,MystiriEX,https://twitter.com/MystiriEX,Good morning
./nigamiart.jpg,NigamiArt,https://twitter.com/nigamiart,Chat with Ana
./purpurinices.jpg,Purpurinices,https://linktr.ee/Purpurinices,Trick-or-treat with Snow (R) and Jenny (L)
./shika_ichi.jpg,Shika_ichi,https://shikai.carrd.co/,Rainy day
./tipsypaipai.jpg,Tipsypaipai,https://www.pixiv.net/en/users/25878511,Night flight
./vicktorian.jpg,Vicktorian,https://vicktorian.carrd.co/,Try Jenny’s nectar
./wynnie.jpg,Wynnie9963,https://wynnie9963.carrd.co/,Surprise hug for Alyra
./artlisanch.jpg,Artlisanch,https://www.deviantart.com/artlisanch,Meet Farmer turned alraune
